Name,Population,Demand (education),Demand (household),Demand (peak institution),Demand (commercial),Demand (production),Demand (health),Demand (peak),Demand (lighting),Demand (total),Demand (peak household),Growth (household),Growth (population),Technology (standalone),Technology (standalone cost),Cost (grid extension initial),Cost (grid extension total),Cost (grid extension recurring),Cost (photovoltaic diesel initial),Cost (photovoltaic diesel total),Cost (photovoltaic diesel recurring),Cost (diesel initial),Cost (diesel total),Cost (diesel recurring),Cost (grid internal initial),Cost (grid internal total),Cost (grid internal recurring),Metric
SAGUE SATHIEL,722.0,121.782540552,10024.8513921,1.92777598797,91.2010656162,2157.99340051,1986.29500574,4.67431061593,119.925281427,17061.2337482,2.74653462797,94,906,diesel,476921.073819,20.0,26.5542049128,1.06666666667,3583574.94289,5757090.67624,353729.676306,99267.5,476921.073819,61461.38,129020.0,269929.007082,22932.292,7795.076803
THIARENE SARR I,105.0,100.603772212,1323.61928097,0.795960648906,67.8988698971,273.757663465,1720.96436336,1.15859606835,107.700352152,4228.87564947,0.362635419444,13,131,diesel,217612.87118,20.0,26.5542049128,1.06666666667,83372.5,219906.963873,22220.3552381,14217.5,217612.87118,33101.66,21290.0,59587.1450867,6232.684,5951.06223714
MAKA MOR MADICKE,132.0,101.227232483,1733.03567712,0.846257895694,68.4971002164,358.971598709,1728.84215408,1.32106219079,108.021684335,4821.8769964,0.4748042951,17,165,diesel,230418.21452,20.0,26.5542049128,1.06666666667,246872.5,480664.073225,38048.5019048,18417.5,230418.21452,34502.14,26610.0,69974.3975308,7057.356,6042.12468484
TOBY,57.0,99.5540399904,711.24803139,0.720298447822,66.906066831,146.726267096,1707.68680068,0.915160922175,107.165555066,3340.33736594,0.194862474353,7,71,photovoltaic diesel,144531.763298,20.0,26.5542049128,1.06666666667,44672.5,144531.763298,16251.6352381,7917.5,198404.85617,31000.94,13310.0,44006.2664204,4995.676,3785.67150505
MERINA DAKHAR,52.0,99.452492896,609.520439561,0.708111522567,66.8110077771,125.708749477,1706.40143931,0.875103423817,107.11424337,3194.12749693,0.166991901249,6,65,photovoltaic diesel,131969.229869,20.0,26.5542049128,1.06666666667,38222.5,131969.229869,15256.8485714,6867.5,195203.520335,30650.82,11980.0,41409.4533093,4789.508,3410.37424607
GABANE OUOLOF,540.0,113.721331767,7328.71563264,1.56417928703,81.6714176329,1557.44118433,1885.74556677,3.57204658364,114.979392623,13037.9700303,2.00786729661,70,677,diesel,400089.013778,20.0,26.5542049128,1.06666666667,1970457.0953,3220227.55038,203394.386225,74067.5,400089.013778,53058.5,97100.0,207605.492416,17984.26,7248.70211682
MEDINE,63.0,99.6903880092,813.071469111,0.732673827832,67.0339783114,167.788495984,1709.41239819,0.955433134438,107.234569986,3487.3309407,0.222759306606,8,79,photovoltaic diesel,157094.296727,20.0,26.5542049128,1.06666666667,51122.5,157094.296727,17246.4219048,8967.5,201606.192005,31351.06,14640.0,46603.0795314,5201.844,4160.96876403
BOUNDOU WOULA I,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
NGOUFAT II,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
NGOUFAT I,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
DAO II,245.0,104.073747852,3178.59426916,1.02792899804,71.3059575061,662.718164291,1764.74030512,1.89877674302,109.522401281,6930.53511201,0.870847744975,31,307,diesel,275236.916211,20.0,26.5542049128,1.06666666667,450572.5,829898.227052,61733.5152381,33117.5,275236.916211,39403.82,45230.0,106329.781086,9943.708,6360.84325178
THIAR SENE,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
NGUEREUNG PEULH I,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
NDIAYENE PEULH II,296.0,105.495677468,3907.90430807,1.11995728888,72.7545371255,817.305646138,1782.63411794,2.19061600342,110.291863883,7995.7484125,1.07065871454,38,371,diesel,297646.267056,20.0,26.5542049128,1.06666666667,808922.5,1370368.11656,91372.6885714,40467.5,297646.267056,41854.66,54540.0,124507.472863,11386.884,6520.20253525
KEUR MANDIOL,204.0,103.004394632,2660.06323559,0.962367500414,70.2361861493,553.275731176,1751.26707796,1.69115194852,108.952294781,6172.7046121,0.728784448108,26,256,diesel,259230.237036,20.0,26.5542049128,1.06666666667,377822.5,705171.743542,53274.5819048,27867.5,259230.237036,37653.22,38580.0,93345.7155303,8912.868,6247.01519216
KEUR PATHE PEULH I,88.0,100.229170898,1119.15663961,0.770553154924,67.542480568,231.259206651,1716.22820835,1.07717141235,107.508600738,3931.67565509,0.306618257428,11,110,photovoltaic diesel,194781.897015,20.0,26.5542049128,1.06666666667,70472.5,194781.897015,20230.7819048,12117.5,211210.19951,32401.42,18630.0,54393.5188646,5820.348,5286.86054097
THIAR NDIAYE II,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
BAYAKH GAYE,294.0,105.449841357,3907.52838203,1.11966405124,72.7073872314,817.146695589,1782.0576762,2.19021977235,110.2668613,7994.30216907,1.0705557211,38,369,diesel,297646.267056,20.0,26.5542049128,1.06666666667,808922.5,1370368.11656,91372.6885714,40467.5,297646.267056,41854.66,54540.0,124507.472863,11386.884,6520.20253525
THISNOR,39.0,99.1680644112,507.652829443,0.695006589727,66.5456884202,104.625051514,1702.80029136,0.834089556697,106.970924506,3044.42688195,0.139082966971,5,48,photovoltaic diesel,90360.3330976,20.0,26.5542049128,1.06666666667,14897.5,90360.3330976,12281.2285714,5817.5,192002.1845,30300.7,10650.0,38812.6401983,4583.34,1941.22524356
NDIAYENE OUOLOF,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
GABANE PEULH II,233.0,103.753521145,3074.02593435,1.01413650724,70.9838108054,640.459242161,1760.70715327,1.85633539337,109.350896186,6775.62418578,0.842198886124,30,292,diesel,272035.580376,20.0,26.5542049128,1.06666666667,436022.5,804952.93035,60041.7285714,32067.5,272035.580376,39053.7,43900.0,103732.967974,9737.54,6338.07763985
MOUREL,402.0,108.76092453,5385.01196177,1.30935748005,76.1883885718,1133.83409534,1823.6404686,2.784703223,112.105910538,10164.1667639,1.47534574295,52,504,diesel,342464.968747,20.0,26.5542049128,1.06666666667,1107122.5,1854390.14871,121614.368571,55167.5,342464.968747,46756.34,73160.0,160862.856418,14273.236,6838.92110219
SAME NDIAYE,669.0,119.226434297,9223.4100883,1.81838386055,88.1010659317,1977.91983508,1954.45519794,4.34534552858,118.321880876,15860.5111793,2.52696166803,87,839,diesel,454511.722974,20.0,26.5542049128,1.06666666667,3058788.9791,4933060.16632,305029.004481,91917.5,454511.722974,59010.54,119710.0,251751.315304,21489.116,7635.71751953
THIOWORE,2031.0,292.113477409,42371.8201864,6.66375595508,405.612004927,9247.97755171,4095.41958373,18.2724738144,277.407204914,66694.5294224,11.6087178593,265,2549,diesel,1202305.09555,20.0,26.5542049128,1.06666666667,41810573.1416,65541624.1303,3862119.26414,280385.0,1202305.09555,150038.25,371450.0,798156.513263,69444.52,15219.7583626
DIOKOUL WADE,106.0,100.639861246,1323.71396681,0.796154974219,67.9333261811,273.801117486,1721.42052956,1.15881633499,107.718878025,4229.67962271,0.36266136077,13,133,diesel,217612.87118,20.0,26.5542049128,1.06666666667,83372.5,219906.963873,22220.3552381,14217.5,217612.87118,33101.66,21290.0,59587.1450867,6232.684,5951.06223714
DAROU GUEYE,45.0,99.3013106809,507.784237534,0.695681306652,66.6698102909,104.687015832,1704.48749042,0.834800275839,107.037991031,3047.02100681,0.139118969187,5,56,photovoltaic diesel,90360.3330976,20.0,26.5542049128,1.06666666667,14897.5,90360.3330976,12281.2285714,5817.5,192002.1845,30300.7,10650.0,38812.6401983,4583.34,1941.22524356
TARE,788.0,125.201598997,11073.3100724,2.07175219608,95.4551199273,2395.0084968,2028.830957,5.10553577757,122.118504761,18635.2055881,3.03378358148,103,989,diesel,505733.096335,20.0,26.5542049128,1.06666666667,4326671.07005,6980913.17915,431965.680159,108717.5,505733.096335,64612.46,150990.0,349415.301209,32292.804,5886.74357372
KOGNE KOGNE I,119.0,100.931192073,1528.2464958,0.821170133251,68.2122543879,316.328918516,1725.10223383,1.23986780333,107.868765228,4525.51748217,0.418697670084,15,149,diesel,224015.54285,20.0,26.5542049128,1.06666666667,217772.5,430773.479822,34664.9285714,16317.5,224015.54285,33801.9,23950.0,64780.7713087,6645.02,5996.59346099
NDOUNE,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
DEUCK BOUREYE,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
MBAYE MBAYE MAPATHE,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
MERINA SANTHIE,52.0,99.452492896,609.520439561,0.708111522567,66.8110077771,125.708749477,1706.40143931,0.875103423817,107.11424337,3194.12749693,0.166991901249,6,65,photovoltaic diesel,131969.229869,20.0,26.5542049128,1.06666666667,38222.5,131969.229869,15256.8485714,6867.5,195203.520335,30650.82,11980.0,41409.4533093,4789.508,3410.37424607
KEUR AMADOU MOUNA,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
NDIAGNE FALL,50.0,99.4019474987,609.460423508,0.707853550758,66.7637572182,125.680559137,1705.76158291,0.874829009254,107.088730936,3193.12588378,0.166975458495,6,62,photovoltaic diesel,131969.229869,20.0,26.5542049128,1.06666666667,38222.5,131969.229869,15256.8485714,6867.5,195203.520335,30650.82,11980.0,41409.4533093,4789.508,3410.37424607
GATY TOYE I,74.0,99.9142952144,915.106725357,0.745517438435,67.2447114964,188.949165477,1712.24547437,0.996231609765,107.348197378,3636.24537564,0.250714171331,9,92,photovoltaic diesel,169656.830156,20.0,26.5542049128,1.06666666667,57572.5,169656.830156,18241.2085714,10017.5,204807.52784,31701.18,15970.0,49199.8926425,5408.012,4536.26602301
KEUR NDIAYE,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
CHERIF,50.0,99.4019474987,609.460423508,0.707853550758,66.7637572182,125.680559137,1705.76158291,0.874829009254,107.088730936,3193.12588378,0.166975458495,6,62,photovoltaic diesel,131969.229869,20.0,26.5542049128,1.06666666667,38222.5,131969.229869,15256.8485714,6867.5,195203.520335,30650.82,11980.0,41409.4533093,4789.508,3410.37424607
KEUR MOR ARENE,61.0,99.6391295386,711.366242483,0.720736131976,66.9858545625,146.781604926,1708.76371532,0.91563099293,107.20860874,3342.0531242,0.194894860954,7,76,photovoltaic diesel,144531.763298,20.0,26.5542049128,1.06666666667,44672.5,144531.763298,16251.6352381,7917.5,198404.85617,31000.94,13310.0,44006.2664204,4995.676,3785.67150505
BAITY GUEYE,424.0,109.506021041,5704.89824266,1.35074602745,76.9920543751,1202.94521422,1832.98281844,2.91373184735,112.52870568,10635.1212428,1.56298581991,55,532,diesel,352068.976252,20.0,26.5542049128,1.06666666667,1217789.47128,2030561.39384,132274.887486,58317.5,352068.976252,47806.7,77150.0,168653.295751,14891.74,6907.21793796
AINOU MERINA,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
MBAYE MBAYE MAYORO,59.0,99.605042621,711.318866658,0.720560792838,66.9538768334,146.759438251,1708.332317,0.915442674115,107.19135508,3341.36576052,0.194881881276,7,74,photovoltaic diesel,144531.763298,20.0,26.5542049128,1.06666666667,44672.5,144531.763298,16251.6352381,7917.5,198404.85617,31000.94,13310.0,44006.2664204,4995.676,3785.67150505
GOBAR,343.0,106.890255508,4538.29910591,1.20064455346,74.2032312779,951.941178329,1800.1614214,2.44401417152,111.058774709,8920.65172603,1.24336961806,44,430,diesel,316854.282067,20.0,26.5542049128,1.06666666667,936722.5,1577806.13033,104333.408571,46767.5,316854.282067,43955.38,62520.0,140088.351529,12623.892,6656.79620679
KEUR NDARY,35.0,99.0853252964,406.057107636,0.682937544534,66.4687686427,83.6692499827,1701.75247624,0.794186067174,106.92934561,2898.77914519,0.11124852264,4,43,photovoltaic diesel,83607.0723368,20.0,26.5542049128,1.06666666667,11822.5,83607.0723368,11682.6085714,4767.5,188800.848665,29950.58,9320.0,36215.8270872,4377.172,1784.69833329
WAKHALDIAM,173.0,102.222838543,2247.24784785,0.910652582629,69.4653040255,466.57343397,1741.41048486,1.52633692451,108.540399029,5571.12977445,0.615684341877,22,217,diesel,246424.893696,20.0,26.5542049128,1.06666666667,319622.5,605390.556735,46507.4352381,23667.5,246424.893696,36252.74,33260.0,82958.4630861,8088.196,6155.95274446
LEONA,1088.0,144.921663316,16013.7823766,2.77635046379,122.165178978,3535.40045695,2273.31288182,7.16368810121,135.759776381,26147.4615694,4.38733763742,142,1365,diesel,630585.193902,20.0,26.5542049128,1.06666666667,8559671.25093,13600165.2799,820317.191141,149667.5,630585.193902,78267.14,202860.0,450691.01254,40333.356,6774.60243876
THIAR SECK,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
SANTHIOU DABAYE,17.0,98.7261478769,202.887678178,0.657861458966,66.1362267453,41.7677474768,1697.20246474,0.71344712422,106.749437877,2604.0820034,0.0555856652543,2,21,photovoltaic diesel,66382.7225776,20.0,26.5542049128,1.06666666667,3647.5,66382.7225776,10209.8685714,2667.5,182398.176995,29250.34,6660.0,31022.2008651,3964.836,1331.63549158
NDADE,248.0,104.159960675,3281.71495363,1.04030740888,71.392946643,684.348986868,1765.82591106,1.93940739618,109.568687764,7078.83699605,0.899099987295,32,311,diesel,278438.252046,20.0,26.5542049128,1.06666666667,465122.5,854843.523753,63425.3019048,34167.5,278438.252046,39753.94,46560.0,108926.594197,10149.876,6383.6088637
KEUR MALICK FALL,102.0,100.54977407,1323.47770865,0.795669898486,67.8473545861,273.692636649,1720.2817884,1.15826653099,107.672650052,4227.67283813,0.362596632507,13,128,diesel,217612.87118,20.0,26.5542049128,1.06666666667,83372.5,219906.963873,22220.3552381,14217.5,217612.87118,33101.66,21290.0,59587.1450867,6232.684,5951.06223714
SANTHIOU DIADJI,301.0,105.633741188,4011.90731963,1.13275069863,72.8967387324,839.304926999,1784.37028395,2.23190338894,110.367253671,8146.44736962,1.09915269031,39,377,diesel,300847.602892,20.0,26.5542049128,1.06666666667,830222.5,1404941.11885,93532.8085714,41517.5,300847.602892,42204.78,55870.0,127104.285974,11593.052,6542.96814717
